Player,Nation,Pos,Squad,Age,MP,Min,90s,GA,GA90,SoTA,Saves,Save%,CS,CS%,PKatt,PKA,PKsv,PKm,PKSave%,Season
Benjamin Lecomte,fr FRA,GK,Montpellier,27,37,3330,37,42,1.14,143,102,72.7,11,29.7,5,3,1,1,25,18/19
Anthony Lopes,pt POR,GK,Lyon,27,34,3060,34,42,1.24,134,95,72.4,9,26.5,5,5,0,0,0,18/19
Mike Maignan,fr FRA,GK,Lille,23,38,3420,38,33,0.87,125,90,78.4,15,39.5,10,6,2,2,25,18/19
Steve Mandanda,fr FRA,GK,Marseille,33,31,2736,30.4,40,1.32,113,72,69.9,9,29,7,6,1,0,14.3,18/19
Edouard Mendy,sn SEN,GK,Reims,26,38,3420,38,42,1.11,150,110,76.7,14,36.8,7,7,0,0,0,18/19
Yohann Pelé,fr FRA,GK,Marseille,35,9,680,7.6,12,1.59,25,12,68,3,42.9,5,4,1,0,20,18/19
Baptiste Reynet,fr FRA,GK,Toulouse,27,31,2704,30,45,1.5,143,98,71.3,6,19.4,5,4,1,0,20,18/19
Stéphane Ruffier,fr FRA,GK,Saint-Étienne,31,37,3330,37,40,1.08,148,107,77.7,13,35.1,9,7,1,1,12.5,18/19
Brice Samba,fr FRA,GK,Caen,24,38,3420,38,54,1.42,193,139,75.1,9,23.7,8,6,2,0,25,18/19
Matz Sels,be BEL,GK,Strasbourg,26,37,3330,37,48,1.3,148,99,72.3,8,21.6,9,7,2,0,22.2,18/19
Danijel Subašić,hr CRO,GK,Monaco,33,14,1138,12.6,12,0.95,39,26,74.4,4,28.6,3,2,1,0,33.3,18/19
Ciprian Tătărușanu,ro ROU,GK,Nantes,32,27,2391,26.6,30,1.13,95,62,69.5,7,25.9,4,1,3,0,75,18/19
Rúnar Alex Rúnarsson,is ISL,GK,Dijon,24,11,900,10,17,1.7,47,31,63.8,0,0,0,0,0,0,0,19/20
Walter Benítez,ar ARG,GK,Nice,26,26,2340,26,36,1.38,130,95,75.4,4,15.4,6,4,1,1,20,19/20
Paul Bernardoni,fr FRA,GK,Nîmes,22,25,2204,24.5,38,1.55,108,71,68.5,6,24,4,4,0,0,0,19/20
Ludovic Butelle,fr FRA,GK,Angers,36,26,2340,26,32,1.23,83,51,65.1,11,42.3,3,3,0,0,0,19/20
Benoît Costil,fr FRA,GK,Bordeaux,32,28,2520,28,34,1.21,108,74,70.4,6,21.4,3,2,1,0,33.3,19/20
Alfred Gomis,sn SEN,GK,Dijon,25,19,1620,18,20,1.11,81,62,76.5,6,31.6,1,1,0,0,0,19/20
Régis Gurtner,fr FRA,GK,Amiens,32,28,2520,28,50,1.79,142,93,65.5,5,17.9,1,1,0,0,0,19/20
Alban Lafont,fr FRA,GK,Nantes,20,27,2430,27,29,1.07,95,64,72.6,10,37,6,3,2,1,40,19/20
Gautier Larsonneur,fr FRA,GK,Brest,22,27,2398,26.6,34,1.28,132,96,76.5,7,25.9,5,3,2,0,40,19/20
Benjamin Lecomte,fr FRA,GK,Monaco,28,28,2520,28,44,1.57,134,91,71.6,7,25,6,6,0,0,0,19/20
Anthony Lopes,pt POR,GK,Lyon,28,26,2340,26,25,0.96,86,64,73.3,8,30.8,3,2,0,1,0,19/20
Mike Maignan,fr FRA,GK,Lille,24,28,2520,28,27,0.96,83,58,72.3,12,42.9,6,4,1,1,20,19/20
Steve Mandanda,fr FRA,GK,Marseille,34,27,2371,26.3,27,1.02,92,67,75,11,40.7,4,4,0,0,0,19/20
Edouard Mendy,sn SEN,GK,Rennes,27,24,2160,24,19,0.79,79,60,79.7,9,37.5,4,3,1,0,25,19/20
Jessy Moulin,fr FRA,GK,Saint-Étienne,33,5,450,5,4,0.8,23,19,91.3,2,40,2,2,0,0,0,19/20
Keylor Navas,cr CRC,GK,Paris S-G,32,21,1890,21,18,0.86,66,49,72.7,11,52.4,0,0,0,0,0,19/20
Alexandre Oukidja,dz ALG,GK,Metz,31,27,2385,26.5,31,1.17,129,98,78.3,8,29.6,3,3,0,0,0,19/20
Predrag Rajković,rs SRB,GK,Reims,23,27,2430,27,18,0.67,87,65,80.5,12,44.4,5,1,4,0,80,19/20
Baptiste Reynet,fr FRA,GK,Toulouse,28,23,2034,22.6,49,2.17,118,68,61,2,9.1,5,3,2,0,40,19/20
Stéphane Ruffier,fr FRA,GK,Saint-Étienne,32,22,1980,22,40,1.82,100,60,63,3,13.6,4,3,0,1,0,19/20
Gerónimo Rulli,ar ARG,GK,Montpellier,27,25,2250,25,27,1.08,119,91,79.8,8,32,5,3,2,0,40,19/20
Romain Salin,fr FRA,GK,Rennes,35,5,360,4,5,1.25,19,13,73.7,1,25,1,0,1,0,100,19/20
Matz Sels,be BEL,GK,Strasbourg,27,27,2430,27,32,1.19,104,71,75,8,29.6,7,6,1,0,14.3,19/20
Saturnin Allagbé,bj BEN,GK,Dijon,26,12,1080,12,30,2.5,66,36,56.1,3,25,3,1,1,1,50,20/21
Walter Benítez,ar ARG,GK,Nice,27,38,3420,38,53,1.39,176,123,73.9,9,23.7,7,7,0,0,0,20/21
Paul Bernardoni,fr FRA,GK,Angers,23,38,3420,38,58,1.53,139,82,63.3,9,23.7,8,7,1,0,12.5,20/21
Dimitry Bertaud,fr FRA,GK,Montpellier,22,9,745,8.3,11,1.33,42,31,76.2,3,42.9,1,1,0,0,0,20/21
Marc-Aurèle Caillard,fr FRA,GK,Metz,26,5,361,4,10,2.49,23,13,69.6,0,0,3,3,0,0,0,20/21
Benoît Costil,fr FRA,GK,Bordeaux,33,38,3420,38,56,1.47,156,100,68.6,14,36.8,8,7,1,0,12.5,20/21
